jar_name,mod_id,mod_name,version,side,category,adds_bosses,boss_count,adds_structures,structure_count,adds_dimensions,dimension_count,adds_biomes,biome_count,adds_mobs,mob_count,adds_loot_tables,loot_table_count,adds_recipes,recipe_count,worldgen_risk,performance_risk,balance_risk,notes
immersivelanterns-forge-1.0.6-1.20.1.jar,"immersivelanterns, immersivelanterns",Immersive Lanterns,1.0.6,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
improved-village-placement-1.1.2.jar,"improved_village_placement, improved_village_placement",Improved Village Placement,1.1.2,Both,"Estructuras, Worldgen / biomas / terreno",false,0,true,5,false,0,false,0,false,0,false,0,false,0,Medio,Bajo,Bajo,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
ironchest-1.20.1-14.4.4.jar,ironchest,Iron Chests,1.20.1-14.4.4,Both,Loot / recompensas,false,0,false,0,false,0,false,0,false,0,true,14,true,22,Bajo,Bajo,Bajo,No confirmado
irons_lib-1.20.1-1.1.0.jar,irons_lib,Iron's Lib,1.20.1-1.1.0,Both,"Loot / recompensas, Magia",false,0,false,0,false,0,false,0,false,0,true,3,true,2,Bajo,Bajo,Medio,No confirmado
irons_spellbooks-1.20.1-3.16.0.jar,irons_spellbooks,Iron's Spells 'n Spellbooks,1.20.1-3.16.0,Both,"Armas / armaduras / herramientas, Bosses, Dimensiones, Dungeons, ... (+5)",true,5,true,242,true,1,false,0,true,115,true,122,true,258,Medio,Medio,Alto,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
item_split_bug_fix-1.20.1-1.4.jar,item_split_bug_fix,Item Split Bug Fix,1.20.1-1.4,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
Jade-1.20.1-Forge-11.13.2.jar,jade,Jade,${file.jarVersion},Client only,"Cliente visual / HUD / UI, Mobs",false,0,false,0,false,0,false,0,true,2,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
JadeAddons-1.20.1-Forge-5.5.1.jar,jadeaddons,Jade Addons,${file.jarVersion},Client only,"Cliente visual / HUD / UI, Mobs",false,0,false,0,false,0,false,0,true,4,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
Jadens-Nether-Expansion-2.3.5.jar,netherexp,Jaden's Nether Expansion,2.3.5,Both,"Armas / armaduras / herramientas, Estructuras, Loot / recompensas, Mobs, ... (+1)",false,0,true,86,false,0,true,9,true,21,true,231,true,291,Alto,Medio,Medio,Incluye jar-in-jar: mixinextras
jei-1.20.1-forge-15.20.0.112.jar,jei,Just Enough Items,15.20.0.112,Client only,Cliente visual / HUD / UI,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
justenoughbreeding-forge-1.20.1-3.0.1.jar,justenoughbreeding,Just Enough Breeding,3.0.1,Client only,Cliente visual / HUD / UI,false,0,false,0,false,0,false,0,false,0,false,0,true,1028,Bajo,Bajo,Bajo,No confirmado
JustEnoughProfessions-forge-1.20.1-3.0.1.jar,justenoughprofessions,Just Enough Professions (JEP),${file.jarVersion},Client only,Cliente visual / HUD / UI,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
JustEnoughResources-1.20.1-1.4.0.247.jar,jeresources,Just Enough Resources,1.4.0.247,Client only,Cliente visual / HUD / UI,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
konkrete_forge_1.8.0_MC_1.20-1.20.1.jar,konkrete,Konkrete,1.8.0,Client only,"Cliente visual / HUD / UI, Librerias / dependencias",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
kotlinforforge-4.12.0-all.jar,kotlinforforge-4.12.0-all,kotlinforforge-4.12.0-all.jar,No confirmado,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,Incluye jar-in-jar: kotlinforforge; No se pudo confirmar META-INF/mods.toml parseable.
L_Enders_Cataclysm-3.29.jar,cataclysm,cataclysm,3.28,Both,"Armas / armaduras / herramientas, Bosses, Estructuras, Loot / recompensas, ... (+2)",true,2,true,196,false,0,false,0,true,142,true,168,true,189,Medio,Medio,Alto,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
LeavesBeGone-v8.0.0-1.20.1-Forge.jar,leavesbegone,Leaves Be Gone,8.0.0,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lionfishapi-3.0.jar,lionfishapi,LionfishAPI,3.0,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lithostitched-forge-1.20.1-1.4.11.jar,lithostitched,Lithostitched,1.4.11,Both,"Librerias / dependencias, Worldgen / biomas / terreno",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Medio,Bajo,Bajo,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
